"","reserve","date","lizard_num","nymphal_propption","month_numeric","binned_prop","month_name","ppt","tmax","tmean","tmin","vpdmax","vpdmin","ppt_month","ppt_prior_month","region","location"
"1","Sedgwick",2021-03-21,1,1,3,0,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"2","Sedgwick",2021-03-21,2,0.2,3,0,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"3","Sedgwick",2021-03-21,3,0.5,3,1,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"4","Sedgwick",2021-03-21,4,0.5,3,1,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"5","Sedgwick",2021-03-21,5,1,3,0,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"6","Sedgwick",2021-03-21,6,0.6,3,1,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"7","Sedgwick",2021-03-21,7,0.6,3,1,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"8","Sedgwick",2021-03-21,8,1,3,0,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"9","Coal Oil Point",2021-03-23,1,1,3,0,"March",0,21.3822994232178,14.7337999343872,8.08539962768555,20.264799118042,3.95039987564087,32.8756989093963,1.16809995565563,"southern","coastal"
"10","Stunt Ranch",2021-03-24,1,0,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"11","Stunt Ranch",2021-03-24,2,1,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"12","Stunt Ranch",2021-03-24,3,1,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"13","Stunt Ranch",2021-03-24,4,1,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"14","Stunt Ranch",2021-03-24,5,0,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"15","Stunt Ranch",2021-03-24,6,1,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"16","Stunt Ranch",2021-03-24,7,1,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"17","Stunt Ranch",2021-03-24,8,0,3,0,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"18","Stunt Ranch",2021-03-24,9,0.5,3,1,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"19","McLaughlin",2021-04-07,1,0.9523809524,4,0,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
"20","McLaughlin",2021-04-07,2,1,4,0,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
"21","McLaughlin",2021-04-07,3,0.1428571429,4,0,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
"22","McLaughlin",2021-04-07,4,0.6666666667,4,1,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
"23","McLaughlin",2021-04-07,5,0.25,4,0,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
"24","McLaughlin",2021-04-07,6,0.4444444444,4,1,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
